result	result_sigma	m	seed	weeks	trials	mean	sigma	error	p1	p2	p3	p4	p5
1.3944172	0.0011610792	1	1	10000000	25	-0.1	1	8	0.06751016771427581	16.414652662379698	0.09053120681645507	2.9286410475986675	1.4106827461584739
0.9897876	0.0013872698	1	1	30000000	25	-0.2	1	16	0.44880006755199386	2.0434933181283492	0.17835576587068114	1.0249166780874903	3.4694167190004084
0.38394309	7.5578981e-05	1	1	30000000	25	-0.2	1	2	1.6751457599999964	13.095500799999996	0.4861401599999997	1.1019321599999987	1.5759155199999997
1.0388568	0.0024958826	1	1	30000000	25	-0.2	1	22	0.26905144966590466	7.039604039704919	0.17973879608695242	1.0490299472975564	2.7824820586125054
1.0798887	0.0028630904	1	1	30000000	25	-0.2	1	32	0.18617389909869975	13.181015656334772	0.1972321656100233	1.1166945488794475	2.258201362062424
0.63248323	0.00022595303	1	1	30000000	25	-0.2	1	4	0.15448948209251373	26.220126731698336	0.16233108226607246	1.0673570829918724	4.564689224565118
0.75946978	0.00036918794	1	1	30000000	25	-0.2	1	6	0.20457923595914437	18.639259810345987	0.17169151408671116	1.0378703898246373	1.1598492726939673
0.83917888	0.00050833704	1	1	30000000	25	-0.2	1	8	0.18426752980844902	16.323566509815087	0.17163781543460446	1.1372557878453737	2.7806294603400996
0.071532048	0.00022281692	1	1	30000000	25	-0.5	0.7	16	0.4933934068050479	12.121763387982213	0.4815275475310613	1.0069321901371844	2.504897463309641
0.073128325	0.00027345773	1	1	30000000	25	-0.5	0.7	22	0.48754866098028216	13.684449937472085	0.5161709441397095	1.0060161056149766	2.1149775671001514
0.074446717	0.00043399619	1	1	30000000	25	-0.5	0.7	32	0.4934602780263403	13.329597761639242	0.48566691933231787	0.9735495157371294	2.3624366321767063
0.059939431	5.0975815e-05	1	1	30000000	25	-0.5	0.7	4	0.49672570050551135	11.591611178674892	0.4643336382761351	1.1640353750915446	2.1108589339145505
0.064799999	9.713057e-05	1	1	30000000	25	-0.5	0.7	6	0.5615059203765171	10.202798204452938	0.46708155176345	0.9998617376954232	3.1477215506104796
